sample_id,cluster_label
0,5
1,4
2,0
3,5
4,2
5,2
6,2
7,3
8,4
9,0
10,1
11,3
12,0
13,4
14,3
15,4
16,5
17,0
18,0
19,3
20,3
21,4
22,1
23,2
24,3
25,2
26,3
27,5
28,1
29,2
30,0
31,1
32,0
33,3
34,2
35,0
36,0
37,3
38,1
39,0
40,2
41,3
42,2
43,0
44,0
45,2
46,3
47,3
48,0
49,2
50,3
51,2
52,4
53,2
54,4
55,1
56,5
57,1
58,2
59,3
60,2
61,0
62,5
63,1
64,0
65,4
66,3
67,5
68,3
69,3
70,3
71,4
72,0
73,0
74,1
75,2
76,2
77,0
78,0
79,3
80,2
81,5
82,0
83,1
84,2
85,1
86,0
87,1
88,1
89,0
90,4
91,3
92,1
93,1
94,1
95,3
96,1
97,3
98,5
99,5
100,3
101,4
102,1
103,5
104,1
105,2
106,0
107,1
108,5
109,0
110,2
111,4
112,1
113,5
114,0
115,0
116,2
117,4
118,3
119,1
120,3
121,2
122,4
123,3
124,5
125,3
126,0
127,4
128,1
129,3
130,0
131,1
132,5
133,4
134,2
135,2
136,4
137,5
138,5
139,0
140,4
141,0
142,0
143,1
144,5
145,0
146,4
147,4
148,1
149,5
150,1
151,3
152,1
153,0
154,5
155,3
156,0
157,1
158,1
159,4
160,2
161,0
162,5
163,5
164,2
165,4
166,4
167,3
168,3
169,0
170,1
171,4
172,1
173,3
174,3
175,1
176,1
177,1
178,1
179,5
180,1
181,2
182,3
183,3
184,0
185,2
186,0
187,4
188,2
189,0
190,2
191,1
192,4
193,2
194,4
195,4
196,5
197,5
198,5
199,5
200,5
201,4
202,5
203,5
204,0
205,3
206,1
207,2
208,5
209,0
210,3
211,0
212,5
213,5
214,0
215,3
216,1
217,2
218,0
219,2
220,5
221,2
222,0
223,4
224,1
225,0
226,2
227,1
228,2
229,1
230,1
231,3
232,3
233,4
234,3
235,5
236,4
237,4
238,2
239,5
240,2
241,1
242,5
243,0
244,5
245,1
246,2
247,5
248,4
249,2
250,4
251,0
252,4
253,4
254,4
255,0
256,5
257,0
258,3
259,5
260,2
261,5
262,2
263,5
264,0
265,0
266,2
267,0
268,4
269,4
270,4
271,1
272,3
273,5
274,4
275,1
276,5
277,0
278,2
279,5
280,5
281,2
282,1
283,4
284,3
285,5
286,4
287,2
288,3
289,3
290,5
291,0
292,2
293,2
294,0
295,4
296,0
297,2
298,2
299,0
300,4
301,0
302,4
303,0
304,0
305,0
306,0
307,1
308,1
309,1
310,5
311,4
312,0
313,3
314,5
315,2
316,0
317,2
318,4
319,4
320,4
321,4
322,1
323,5
324,5
325,3
326,0
327,5
328,3
329,1
330,3
331,5
332,4
333,1
334,2
335,4
336,1
337,1
338,2
339,2
340,5
341,0
342,4
343,4
344,0
345,3
346,1
347,5
348,3
349,5
350,5
351,5
352,2
353,3
354,4
355,5
356,4
357,0
358,2
359,4
360,0
361,1
362,5
363,5
364,3
365,0
366,4
367,2
368,5
369,5
370,1
371,0
372,5
373,3
374,1
375,0
376,1
377,5
378,4
379,5
380,3
381,4
382,1
383,3
384,2
385,2
386,4
387,2
388,2
389,4
390,5
391,1
392,0
393,4
394,0
395,2
396,2
397,5
398,2
399,1
400,3
401,4
402,1
403,2
404,0
405,0
406,1
407,0
408,5
409,2
410,5
411,1
412,3
413,5
414,0
415,0
416,4
417,0
418,2
419,1
420,4
421,0
422,3
423,0
424,4
425,2
426,4
427,2
428,2
429,1
430,1
431,1
432,5
433,5
434,1
435,4
436,4
437,2
438,4
439,0
440,1
441,1
442,2
443,0
444,5
445,0
446,4
447,5
448,4
449,1
450,2
451,5
452,0
453,1
454,3
455,1
456,4
457,0
458,3
459,5
460,0
461,3
462,4
463,1
464,2
465,4
466,3
467,4
468,5
469,4
470,4
471,5
472,0
473,4
474,0
475,4
476,3
477,2
478,1
479,4
480,3
481,5
482,2
483,0
484,5
485,1
486,4
487,4
488,3
489,3
490,0
491,5
492,4
493,3
494,2
495,4
496,5
497,1
498,2
499,0
500,2
501,5
502,1
503,4
504,4
505,2
506,5
507,1
508,2
509,0
510,0
511,1
512,1
513,1
514,4
515,1
516,1
517,5
518,4
519,1
520,3
521,2
522,3
523,3
524,4
525,1
526,4
527,3
528,2
529,2
530,4
531,1
532,2
533,3
534,2
535,5
536,3
537,2
538,2
539,3
540,4
541,3
542,0
543,5
544,0
545,0
546,2
547,0
548,2
549,1
550,2
551,0
552,5
553,4
554,2
555,1
556,2
557,1
558,4
559,0
560,5
561,2
562,1
563,3
564,3
565,1
566,1
567,4
568,1
569,3
570,0
571,0
572,4
573,1
574,4
575,3
576,2
577,0
578,3
579,2
580,1
581,1
582,4
583,2
584,0
585,3
586,1
587,5
588,4
589,1
590,2
591,5
592,0
593,0
594,0
595,4
596,1
597,3
598,1
599,5
600,1
601,3
602,4
603,0
604,0
605,2
606,2
