model,status,n_ok,n_total,avg_task_f1,avg_precision,avg_recall,avg_assignee_accuracy,avg_deadline_accuracy,avg_hallucination_rate,avg_predicted_tasks,avg_matched_tasks,avg_latency_sec,avg_raw_chars,n_rate_limited,n_forbidden,n_parse_failed,notes
liquid/lfm-2.5-1.2b-instruct:free,ok,5,13,0.1289,0.0952,0.2,0.5,0.0,0.0,3.6,0.6,7.78,587.8,1,0,0,rate_limited
openrouter/owl-alpha,ok,13,13,0.0989,0.0897,0.1154,0.25,0.0,0.0,1.3077,0.3077,11.317,430.6,0,0,0,
openai/gpt-oss-120b:free,ok,13,13,0.0308,0.0256,0.0385,0.0,0.0,0.0,0.3846,0.0769,7.008,86.0,0,0,0,
arcee-ai/trinity-large-thinking:free,ok,13,13,0.009,0.0055,0.0256,0.0,0.0,0.0,1.0769,0.0769,5.55,206.1,0,0,0,
baidu/cobuddy:free,ok,13,13,0.0,0.0,0.0,,,0.0,0.0769,0.0,18.187,27.5,0,0,0,
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
deepseek/deepseek-v4-flash:free,ok,13,13,0.0,0.0,0.0,,,0.0,0.0,0.0,6.323,0.0,0,0,0,
google/gemma-4-26b-a4b-it:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
google/gemma-4-31b-it:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
google/lyria-3-clip-preview,ok,5,13,0.0,0.0,0.0,,,0.0,0.0,0.0,1.614,0.0,0,0,0,
google/lyria-3-pro-preview,ok,5,13,0.0,0.0,0.0,,,0.0,0.0,0.0,1.223,0.0,0,0,0,
liquid/lfm-2.5-1.2b-thinking:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
meta-llama/llama-3.2-3b-instruct:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
meta-llama/llama-3.3-70b-instruct:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
minimax/minimax-m2.5:free,ok,2,13,0.0,0.0,0.0,,,0.0,0.0,0.0,79.977,2.0,1,0,0,rate_limited
nousresearch/hermes-3-llama-3.1-405b:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
nvidia/nemotron-3-nano-30b-a3b:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
nvidia/nemotron-3-super-120b-a12b:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
nvidia/nemotron-nano-12b-v2-vl:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
nvidia/nemotron-nano-9b-v2:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
openai/gpt-oss-20b:free,ok,13,13,0.0,0.0,0.0,,,0.0,0.0,0.0,2.986,2.0,0,0,0,
poolside/laguna-m.1:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
poolside/laguna-xs.2:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
qwen/qwen3-coder:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
qwen/qwen3-next-80b-a3b-instruct:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
z-ai/glm-4.5-air:free,rate_limited,0,13,,,,,,,,,,,1,0,0,rate_limited
